Epoch 1: Train Loss = 0.0505, Val Loss = 0.0731
Epoch 2: Train Loss = 0.0538, Val Loss = 0.0728
Epoch 3: Train Loss = 0.0495, Val Loss = 0.0732
Epoch 4: Train Loss = 0.0454, Val Loss = 0.0760
Epoch 5: Train Loss = 0.0455, Val Loss = 0.0762
Epoch 6: Train Loss = 0.0491, Val Loss = 0.0735
Epoch 7: Train Loss = 0.0468, Val Loss = 0.0721
Epoch 8: Train Loss = 0.0450, Val Loss = 0.0733
Epoch 9: Train Loss = 0.0469, Val Loss = 0.0730
Epoch 10: Train Loss = 0.0443, Val Loss = 0.0724
Epoch 11: Train Loss = 0.0439, Val Loss = 0.0744
Epoch 12: Train Loss = 0.0404, Val Loss = 0.0749
Epoch 13: Train Loss = 0.0445, Val Loss = 0.0736
Epoch 14: Train Loss = 0.0444, Val Loss = 0.0729
Epoch 15: Train Loss = 0.0442, Val Loss = 0.0719
Epoch 16: Train Loss = 0.0449, Val Loss = 0.0721
Epoch 17: Train Loss = 0.0448, Val Loss = 0.0737
Epoch 18: Train Loss = 0.0464, Val Loss = 0.0727
Epoch 19: Train Loss = 0.0437, Val Loss = 0.0729
Epoch 20: Train Loss = 0.0454, Val Loss = 0.0732
Epoch 21: Train Loss = 0.0437, Val Loss = 0.0732
Epoch 22: Train Loss = 0.0433, Val Loss = 0.0732
Epoch 23: Train Loss = 0.0450, Val Loss = 0.0730
Epoch 24: Train Loss = 0.0430, Val Loss = 0.0734
Epoch 25: Train Loss = 0.0437, Val Loss = 0.0725
Epoch 26: Train Loss = 0.0423, Val Loss = 0.0733
Epoch 27: Train Loss = 0.0454, Val Loss = 0.0741
Epoch 28: Train Loss = 0.0453, Val Loss = 0.0739
Epoch 29: Train Loss = 0.0430, Val Loss = 0.0733
Epoch 30: Train Loss = 0.0445, Val Loss = 0.0729
Epoch 31: Train Loss = 0.0433, Val Loss = 0.0738
Epoch 32: Train Loss = 0.0415, Val Loss = 0.0731
Epoch 33: Train Loss = 0.0425, Val Loss = 0.0726
Epoch 34: Train Loss = 0.0455, Val Loss = 0.0727
Epoch 35: Train Loss = 0.0441, Val Loss = 0.0733
Epoch 36: Train Loss = 0.0448, Val Loss = 0.0735
Epoch 37: Train Loss = 0.0441, Val Loss = 0.0739
Epoch 38: Train Loss = 0.0450, Val Loss = 0.0728
Epoch 39: Train Loss = 0.0445, Val Loss = 0.0726
Epoch 40: Train Loss = 0.0457, Val Loss = 0.0727
Epoch 41: Train Loss = 0.0461, Val Loss = 0.0733
Epoch 42: Train Loss = 0.0480, Val Loss = 0.0729
Epoch 43: Train Loss = 0.0450, Val Loss = 0.0725
Epoch 44: Train Loss = 0.0440, Val Loss = 0.0734
Epoch 45: Train Loss = 0.0440, Val Loss = 0.0733
Epoch 46: Train Loss = 0.0448, Val Loss = 0.0726
Epoch 47: Train Loss = 0.0449, Val Loss = 0.0729
Epoch 48: Train Loss = 0.0474, Val Loss = 0.0733
Epoch 49: Train Loss = 0.0444, Val Loss = 0.0740
Epoch 50: Train Loss = 0.0425, Val Loss = 0.0735
